"","Gene.Name","Expressionb","Expression","Expression.1","Expression.2","Expression.3","Expression.4","Expression.5","Expression.6","Expression.7","Expression.8","Expression.9","Expression.10","Expression.11","Expression.12","Expression.13","Expression.14","Expression.15","Expression.16","Expression.17","Expression.18","Expression.19","Expression.20","Expression.21","Expression.22","Expression.23","Expression.24","Expression.25","Expression.26","Expression.27","Expression.28","Expression.29","Expression.30","Expression.31","Expression.32","Expression.33","Expression.34","Expression.35","Expression.36","Expression.37","Expression.38"
"68","Cdc42",0.058782445,-0.112298465,0.111652855,0.02915696,0.090406955,-0.12769583,-0.096714835,0.06349305,-0.026587615,-0.14696158,-0.137846995,-0.132078755,-0.232405255,-0.063696075,0.04417785,-0.079508625,-0.119213875,0.1914536,-0.009278485,-0.006784095,0.120145305,0.008861355,-0.10619533,0.10568201,0.01876507,-0.24982117,-0.156098455,0.01852086,0.06031287,-0.166133665,-0.064710375,-0.10815077,-0.20536625,0.025196185,-0.040528335,-0.334075445,-0.03205253,-0.1415342,-0.281388925,0.079108115
"799","Pla2g6",-0.1107154,-0.0206181,-0.1541987,-0.0388824,0.25916146,-0.1547576,-0.2264661,3e-05,-0.0613179,-0.2448377,0.08465766,-0.02128,-0.0362061,-0.1748833,-0.0720188,0.00556757,0.03557393,-0.1581301,-0.2908164,-0.0453602,-0.0417459,-0.0344446,-0.046047,-0.2179463,-0.149583,-0.643389,-0.0463481,0.0034305,-0.5244649,-0.3265159,-0.0639037,-0.2962176,-0.1499005,-0.196136,-0.1228442,-0.2882514,0.08775631,-0.3349134,-0.3096739,-0.0933204
"1074","Akt2",-0.2684351,-0.2327044,-0.2547556,-0.1268163,-0.19702215,-0.40627585,-0.025405365,-0.23443535,-0.2341996,-0.29815105,-0.2631082,-0.14025325,-0.22062755,-0.31852675,-0.23161795,-0.2889798,-0.171883,-0.17556098,-0.2862179,-0.042915525,-0.2813254,-0.14659905,-0.08044645,-0.18424679,-0.235202255,-0.284294565,-0.2521663,-0.444017125,-0.17945916,-0.282594545,-0.181557665,-0.28776363,-0.24565,-0.229353335,-0.247456575,-0.309194,-0.32411095,-0.348445,0.047679765,-0.41925235
"1324","Plcg2",0.52395461,0.57954134,0.59783294,0.54605206,0.59084007,0.4708888,0.41230451,0.50084604,0.52437834,0.50687149,0.45372338,0.53698318,0.62914099,0.56066966,0.4881212,0.57550814,0.50542129,0.41937968,0.5374898,0.55584381,0.60082538,0.43953821,0.44670553,0.57526871,0.32077876,0.3752428,0.55910823,0.61287358,0.4573139,0.3246626,0.30011668,0.53073135,0.33849035,0.17606249,0.46404318,0.39855474,0.5201449,0.51625242,0.43350952,0.50755543
"1419","Mapk1",-0.06328214,0.22653429,-0.183115565,-0.188977715,-0.159699985,-0.182470645,-0.29959405,-0.22895934,-0.1187456,-0.23466698,-0.330501065,-0.31326434,-0.294129175,-0.2084572,-0.38901029,0.019993855,-0.16310041,-0.144225435,-0.09127341,0.03650389,-0.108399335,-0.06963949,0.03601295,-0.36747798,-0.15314408,-0.02630622,-0.42581077,-0.157230025,-0.364062555,0.11754723,-0.26032428,-0.39677217,-0.213517885,-0.171865175,-0.263865815,-0.177764315,-0.29829833,-0.29310096,-0.0086562,-0.241848005
"1438","Rac2",-1.4494158,-1.305286,-1.3713556,-1.5641354,-1.4446551,-1.521058,-1.3846918,-1.5680434,-1.4176658,-1.3990298,-1.5061061,-1.5905195,-1.6486561,-1.3482626,-1.4580931,-1.4214534,-1.1585146,-0.4910334,-1.4967944,-1.5704891,-1.4151477,-1.489943,-1.6684487,-1.4035547,-1.4776127,-1.8926979,-1.5193407,-1.2084004,-1.531714,-1.710107,-1.8528208,-1.0169095,-1.5311876,-2.0725879,-1.8302289,-1.3938114,-1.267088,-1.4834729,-1.5414921,-1.484118
"1827","1500003O03Rik",1.62657604,1.6526495,1.63015577,1.42471382,1.66332153,1.55716711,1.42137367,1.56540596,1.64784276,1.66363499,1.36051252,1.43592865,1.41348643,1.73621114,1.62040936,1.57771301,1.51231897,1.68865859,1.7317446,1.56700039,1.53977439,1.66847477,1.57017292,1.66881687,1.57814479,1.52103563,1.43629502,1.53860193,1.55030089,1.56974685,1.61086683,1.54979562,1.48403899,1.58812777,1.654824,1.40959333,1.56477924,1.39379236,1.43783641,1.76419306
"2040","Mapkapk2",-1.3278946,-1.0762885,-0.9337034,-1.1730504,-1.0117475,-1.026221,-1.266521,-1.1439833,-1.076539,-1.3093559,-0.9709261,-1.048779,-1.0250456,-1.1353885,-1.1368192,-1.0661404,-1.070113,-0.6989863,-1.2573966,-1.0314245,-0.8862497,-1.0511075,-1.1340476,-1.2330333,-1.2938421,-1.0251183,-1.113609,-0.847019,-1.1155156,-1.7874721,-1.3155461,-1.0765405,-1.2142708,-1.3294603,-1.190486,-1.2342488,-0.9942048,-1.1838077,-1.1848358,-0.8772436
"2248","Pik3cd",-0.0720561,0.18178278,0.16344176,-0.0554334,-0.2455827,0.06127481,0.20428333,0.16900031,-0.0279166,0.05184767,-0.0102623,0.10603372,0.12175483,0.08443277,0.22104866,0.0603704,-0.064086,-0.090558,-0.0850513,-0.2235238,0.17165401,-0.2130881,-0.2246371,-0.2399777,-0.3134741,0.20154968,0.22383181,-0.094877,0.00127932,0.00686376,0.07615447,0.02903046,0.03201706,0.02651573,0.02938259,0.10728603,0.02954065,0.14855543,0.11839775,0.02015885
"2316","Pla2g5",-0.0199335,-0.2369198,-0.4087857,0.0825495,-0.4607874,0.20700901,-0.1950765,-0.1985186,-0.4843838,-0.2233636,0.00173866,-0.405732,-0.2644949,-0.5829967,-0.2982984,-0.1225963,-0.2671704,-0.587926,-0.149801,0.27042085,-0.1715082,-0.3008994,0.27048983,-0.5903639,-0.1673136,0.51699944,0.14668634,-0.4729642,-0.1092349,-0.0275607,-0.552472,-0.1656486,-0.2114555,-0.0761172,-0.1523682,0.69505735,-0.3914161,-0.2570984,-0.7898876,-0.6535587
