"","Gene.Name","Expressionb","Expression","Expression.1","Expression.2","Expression.3","Expression.4","Expression.5","Expression.6","Expression.7","Expression.8","Expression.9","Expression.10","Expression.11","Expression.12","Expression.13","Expression.14","Expression.15","Expression.16","Expression.17","Expression.18","Expression.19","Expression.20","Expression.21","Expression.22","Expression.23","Expression.24","Expression.25","Expression.26","Expression.27","Expression.28","Expression.29","Expression.30","Expression.31","Expression.32","Expression.33","Expression.34","Expression.35","Expression.36","Expression.37","Expression.38"
"68","Cdc42",0.148494395,0.12652971,0.178527425,0.47934127,-0.070286635,0.171857415,-0.03774931,0.13071777,-0.09119942,0.00746282,-0.00321223,0.20791584,0.12665175,0.131234715,0.15877807,0.18281992,0.047507345,0.21664045,-0.06833677,0.254722665,0.21426866,0.24101586,0.46288097,0.849147505,0.02837548,0.34975988,0.14246462,0.187846385,0.064068705,0.18051115,0.158853505,0.08494764,0.23837852,0.30514461,0.23944864,0.178407695,0.1967171,0.060338895,0.171194265,-0.02245434
"799","Pla2g6",-0.6789855,-0.7079192,-0.5280501,-0.46461,-0.6438147,-0.4563207,-0.521156,-0.8744388,-0.6541232,-0.5553119,-0.715461,-0.417064,-0.3405318,-0.4546447,-0.5155803,-0.23326,-0.5073368,-0.4686886,-0.6406058,-0.3709669,-0.6621067,-0.5357238,-0.1764848,-0.6498021,-0.786836,-0.5166653,-0.4884115,-0.4205,-0.6777257,-0.5370369,-0.5453715,-0.6913862,-0.2613109,-0.4025763,-0.6712155,-0.6563145,-0.4696959,-0.2346285,-0.3873523,-0.7684065
"1074","Akt2",-0.54791765,-0.4768211,-0.60226875,-0.80321765,-0.5594443,-0.8292467,-1.00057355,-0.55635905,-0.52457785,-0.50409695,-0.5253616,-0.91329345,-0.90520015,-0.5110113,-0.4605483,-0.6930692,-0.5197069,-0.5681242,-0.6249962,-0.89379195,-0.6153958,-0.55008715,-0.506121,-0.6150036,-0.6284728,-0.6317947,-0.53704885,-0.4822035,-0.46097385,-0.54929515,-0.45388385,-0.595074,-0.8212105,-0.7423978,-0.48879215,-0.5440264,-0.4453997,-0.74151745,-0.7495768,-0.62794635
"1324","Plcg2",0.53017728,0.52715834,0.49520323,0.80576509,0.52049488,0.49482696,0.51617783,0.5132877,0.52316428,0.40027672,0.56266699,0.78764121,0.68138415,0.67158602,0.55127059,0.70984812,0.52289046,0.56260283,0.53416401,0.63634223,0.60053464,0.66195625,0.74266338,0.22880637,0.45781671,0.88875834,0.52826557,0.54699246,0.87060487,0.54283195,0.55072622,0.5075272,0.59244517,0.62353296,0.67563367,0.54328075,0.5387107,0.69572614,0.5986673,0.48499444
"1419","Mapk1",0.182578435,-0.14460885,0.13998005,0.015923825,0.0038728,-0.034144825,-0.22953425,-0.063320895,0.006625555,-0.07179146,0.113699895,0.09945535,0.105861935,0.07050222,0.140041705,0.027366505,0.09541008,-0.05661675,-0.12024625,-0.04096201,0.00860669,0.066031595,-0.044227115,-0.1682275,0.102969605,-5.13e-05,-0.01536805,0.13370094,-0.0618742,0.04549324,-0.15705635,0.11239495,-0.0399249,-0.013627905,0.077402675,0.04950479,-0.026233225,0.00043004,-0.09522118,0.0269928
"1438","Rac2",-0.8218764,-0.7741247,-0.9211679,-0.730127,-1.0778615,-1.176971,-0.9672028,-0.708784,-0.894717,-0.8457894,-0.661069,-0.9623941,-0.8571628,-0.72466,-0.8652286,-0.8881188,-0.8279283,-0.7386585,-0.7905815,-0.8271014,-0.8077172,-0.6229293,-0.6607446,-1.0880465,-0.7087712,-0.6995283,-0.735168,-0.852164,-0.5537785,-0.6772422,-0.8560174,-0.8057985,-0.9884694,-0.9432792,-0.5663286,-0.8102766,-0.9686226,-0.9110957,-0.9314457,-0.9633498
"1827","1500003O03Rik",1.38843061,1.13034459,1.55535838,1.48586738,1.28073477,1.4670164,1.40866177,1.42906313,1.32007833,1.26472608,1.48469348,1.66056121,1.43339186,1.55159291,1.39922634,1.17937632,1.34742258,1.24136956,1.21071787,1.50840271,1.30033432,1.40188742,1.25831803,1.30985431,1.43570654,1.43917729,1.27320512,1.47744556,1.37197739,1.24068258,1.30989994,1.41839449,1.3192741,1.43686103,1.30132749,1.28223745,1.25658303,1.33459844,1.20615754,1.35669089
"2040","Mapkapk2",-1.2709873,-1.1384266,-1.0323648,-0.6666103,-1.1619068,-1.1913816,-1.1047937,-1.1645871,-1.4398233,-1.1305307,-1.0247542,-0.9345852,-0.6955459,-1.0741812,-1.0055396,-0.525591,-1.039176,-1.1004911,-1.1754688,-0.8582027,-0.961974,-0.9530385,-0.6097582,-1.3211832,-0.8886193,-0.6058997,-0.9695034,-1.1499339,-0.6455579,-1.0532825,-1.0036255,-1.0231914,-1.0461849,-0.9264487,-0.9745123,-0.9965226,-1.1100749,-0.9670935,-0.7853822,-1.2273495
"2248","Pik3cd",0.26720238,0.6508026,0.40619782,0.78498114,0.52144282,0.79390432,0.90331098,0.61836928,0.58827904,0.66354308,0.49949996,0.72522037,0.84492575,0.5401001,0.25799922,1.05394099,0.41423363,0.58288836,0.36885813,0.82482231,0.44477023,0.385073,0.92709442,0.33766928,0.52607548,0.9158912,0.87631039,0.59607543,0.49764166,0.66906842,0.588869,0.44973219,0.96332189,0.91512619,0.58194034,0.61845731,0.76742512,0.85598449,1.20278744,0.64540109
"2316","Pla2g5",-0.1529376,-0.0035586,-0.0173657,0.03875432,0.17209311,0.22224249,0.08223448,-0.0641864,-0.0143626,-0.0640709,-0.1003438,0.08986413,0.04878964,-0.0254918,0.0282465,0.09969277,-0.0433862,-0.1880143,-0.185065,-0.0535334,0.06098148,-0.0842931,0.02460865,-0.1717778,-0.1092426,0.19780233,-1.5103592,-0.0561473,-0.2191018,-0.0106429,-0.1942116,0.0586241,0.13769478,0.10691626,-0.2205107,-0.2347067,-0.087631,0.18196938,-0.1307014,-0.2246489
"2608","Sphk2",0.86467584,0.7509416,0.78582671,0.82175094,0.6750199,0.78602594,0.6782179,0.87215541,0.94240207,1.00751805,0.79656345,0.81118507,0.75252274,1.0318558,0.66970412,0.5864081,0.82262866,0.97332482,0.81302064,0.82429058,0.70691671,0.85366893,0.89717637,0.65690185,0.77100034,0.65038562,0.74851014,0.9577957,0.74410374,0.67540991,0.83075004,0.64586011,0.86416935,0.86148156,0.80975605,0.90622878,0.81406204,0.70341755,0.79851739,0.88721769
"2902","Map2k1",-0.07690408,-0.11757261,0.073445135,-0.133362145,-0.103314245,0.05385469,0.108840615,-0.073320385,-0.039391265,-0.03906223,-0.093033395,0.20903163,0.079427735,-0.049362105,0.049640225,0.03383621,-0.02196114,-0.08157349,-0.11763064,0.089254085,-0.019516535,-0.044957775,-0.22281864,0.223839205,-0.175032465,-0.101975005,-0.223420775,-0.087780135,-0.09055146,-0.09894419,0.04999368,0.013927985,0.046708085,0.165772645,-0.056974055,-0.13296143,-0.07746137,0.081327385,0.0714458,-0.125705015
