"","Gene.Name","Expressionb","Expression","Expression.1","Expression.2","Expression.3","Expression.4","Expression.5","Expression.6","Expression.7","Expression.8","Expression.9","Expression.10","Expression.11","Expression.12","Expression.13","Expression.14","Expression.15","Expression.16","Expression.17","Expression.18","Expression.19","Expression.20","Expression.21","Expression.22","Expression.23","Expression.24","Expression.25","Expression.26","Expression.27","Expression.28","Expression.29","Expression.30","Expression.31","Expression.32","Expression.33","Expression.34","Expression.35","Expression.36","Expression.37","Expression.38"
"68","Cdc42",-0.144504315,-0.13414805,-0.21988233,-0.201722855,-0.132870365,-0.18755412,-0.15185012,-0.151954355,-0.14635122,-0.04202293,-0.255792375,-0.11140486,-0.03557286,-0.098951495,-0.222736755,-0.119070875,-0.18438749,-0.293714775,-0.11049061,-0.21380554,-0.07910523,-0.23839351,-0.12479844,0.04263371,-0.030697595,-0.16982182,-0.16783468,-0.15664771,-0.093066805,-0.16440749,-0.190562635,-0.103618485,-0.338259605,-0.23931672,-0.10144032,-0.085435615,-0.13829075,-0.150990655,-0.1913032,-0.18191745
"799","Pla2g6",-0.0822125,0.1723644,0.03415733,0.12973752,0.3570837,0.36181891,0.19458554,0.14149955,-0.0240729,-0.2494275,0.16972221,0.27477703,-0.1131146,0.49380381,0.14285404,-0.014193,0.03132891,0.36651023,-0.0755058,-0.0451776,0.21822919,0.45521977,-0.123016,-0.347577,0.06751295,0.09724804,0.28405298,0.26884403,-0.5419062,0.40682607,0.31359776,0.04832043,0.14982565,0.17142022,0.51539217,-0.142901,-0.3602289,0.22802315,0.06253807,-0.2523285
"1074","Akt2",-0.53540655,-0.28417035,-0.2986123,-0.3962543,-0.22594105,-0.43167275,-0.43357005,-0.46273815,-0.4311424,-0.54399015,-0.2118969,-0.32273085,-0.4534493,-0.29328735,-0.39283205,-0.42689175,-0.34408235,-0.3474179,-0.4293486,-0.41445575,-0.2881251,-0.26623995,-0.38406945,-0.6025913,-0.33285585,-0.45930755,-0.46017975,-0.42621505,-0.4762655,-0.3288574,-0.34890755,-0.2560766,-0.2759512,-0.34191165,-0.39506675,-0.4164557,-0.4664316,-0.3404776,-0.40850275,-0.5697913
"1324","Plcg2",0.79429475,0.68561641,0.75337511,0.72095589,0.79597321,0.75797425,0.62150182,0.75810646,0.61129723,0.77153307,0.50907921,0.81381962,0.79764282,0.90936688,0.70496384,0.80077377,0.66844419,0.76304091,0.6618804,0.82549083,0.81264135,0.80013993,0.52916416,0.73109743,0.73793395,0.69902448,0.75091496,0.82420885,0.62013853,0.87563201,0.75948472,0.71814027,0.68087022,0.75876851,0.84642695,0.62271887,0.68497819,0.76624965,0.78923003,0.69022696
"1419","Mapk1",0.152584005,-0.1245621,0.009904255,-0.091275605,-0.07447104,-0.019955045,-0.207441025,0.005887355,-0.073152775,-0.029967375,-0.134226345,0.008545345,-0.12144078,0.03362513,-0.068547265,-0.11145087,-0.14334441,-0.003019155,-0.06153537,-0.033508165,-0.01502106,0.082960545,-0.048870295,0.933119525,-0.07894882,-0.016854455,0.184222165,0.02189368,-0.061100565,0.064168935,-0.002212295,-0.058999385,-0.2024423,-0.00767457,0.09974809,-0.01944347,-0.15923283,-0.110316745,-0.098011995,-0.1331901
"1438","Rac2",-0.8036216,-0.7484859,-0.3880528,-0.6055167,-0.5994631,-0.5990416,-1.3079565,-0.7323489,-0.7151456,-0.9487813,-0.6375874,-0.699052,-0.7390268,-0.8839813,-0.56301,-0.3802214,-0.6768645,-1.0235933,-0.7503523,-0.6404657,-0.4561245,-0.7291606,-1.0890444,-0.8888578,-0.6321748,-0.732232,-0.4903304,-0.7195858,-1.0481863,-0.6787667,-0.6869512,-0.5093833,-0.7036534,-0.640257,-0.7573056,-0.9243724,-0.839671,-0.6349993,-0.6012743,-0.7612957
"1827","1500003O03Rik",1.59717694,1.32203599,1.24536716,1.31997571,1.46555703,1.39469415,1.69863453,1.44758067,1.53212436,1.82736659,1.20744273,1.4973,1.77206346,1.5532305,1.36018018,1.31421144,1.33846113,1.39391484,1.9185855,1.4352113,1.50195321,1.10296198,1.76202641,1.80287717,1.3985471,1.4182101,1.4078558,1.57799943,1.87598021,1.24859502,1.36119467,1.40539983,1.37073541,1.30523199,1.60402778,1.85253679,1.71956209,1.34907245,1.61376533,1.51807068
"2040","Mapkapk2",-0.9737368,-0.9399302,-0.7045034,-0.9283369,-0.7848668,-0.8723549,-1.3358672,-0.8773551,-0.7546408,-1.2114064,-0.710888,-0.7463453,-0.9025362,-0.9412,-0.7474502,-0.7162183,-0.8736302,-0.8535927,-0.9184354,-0.7059097,-0.6538011,-0.9372377,-1.1571979,-1.0244993,-0.9184687,-0.7565916,-0.6848923,-0.8533633,-1.2371049,-0.8125011,-0.7995514,-0.6859316,-0.8240155,-0.8435041,-0.8910477,-1.0738515,-1.0463714,-0.7988024,-0.8422883,-0.9670547
"2248","Pik3cd",0.46385253,0.60033662,0.60906456,0.50941292,0.51537415,0.43773497,0.52807164,0.37505457,0.32188665,0.37933986,0.47726089,0.35692173,0.42981181,0.55116581,0.5070547,0.50847537,0.46922907,0.49986595,0.38832925,0.49405374,0.32915025,0.55144102,0.47210428,0.27679696,0.65771949,0.5327721,0.40271995,0.62630439,0.51986416,0.43001036,0.39704934,0.47604966,0.64467147,0.33679137,0.22706602,0.51547299,0.68097922,0.61086295,0.33912437,0.5771902
"2316","Pla2g5",0.11679936,-0.0518747,0.13764514,0.30021465,0.13532991,0.13220766,-0.0703627,0.14327899,-0.1744039,0.17017085,0.18095291,-0.0906334,0.15168351,0.19053851,0.21639535,0.05889055,0.22240492,0.29710636,-0.3004401,0.14636511,0.11071724,0.33620149,0.15537838,0.21098599,0.09866842,0.17100523,0.14447494,0.11400302,-0.0589382,0.02521586,0.19691192,-0.0515778,0.26979915,-0.0695398,0.10373741,-0.0420482,-0.1039772,0.16799273,-0.0724479,0.05425949
"2608","Sphk2",0.77764118,0.38785718,0.56864111,0.30812525,0.53307265,0.42660357,0.8734796,0.45551713,0.67262065,0.8541943,0.48686868,0.4074138,0.73465284,0.71910896,0.41058453,0.54712176,0.33429553,0.47499957,0.89619341,0.4338271,0.6040541,0.44816695,0.63449565,0.68020338,0.51413235,0.02451727,0.55232404,0.67829389,0.83130121,0.56048212,0.48888381,0.37068772,0.42381737,0.20001155,0.66683718,0.91104248,0.74302134,0.43381561,0.59085257,0.43119192
"2902","Map2k1",0.077969645,0.07611245,-0.03200024,0.09727533,0.137197305,0.22337109,0.34361771,0.18334745,0.083751845,0.161719635,0.102975275,0.166697255,0.16392347,0.250053625,0.056669125,0.16879468,0.154403395,0.189948655,0.035921465,0.162427745,0.11818974,0.222180655,0.13208034,0.140966085,0.10567927,0.06931379,-0.009841115,0.184894995,0.147218675,0.12231787,0.09951183,0.081783785,0.106945385,0.04020518,0.150584765,0.141668975,0.1531239,0.09685511,0.037236735,0.092659125
"3101","Pik3r3",0.64661421,0.454872075,0.200175925,0.22756386,0.351741915,0.223670215,0.66719482,0.49922804,0.4568086,0.683300105,0.345372185,0.306004725,0.46208717,0.45566866,0.33592309,0.33469128,0.2965752,0.24896438,0.63345495,0.40318771,0.40180009,0.20813808,0.543181195,0.763698275,0.47524279,0.191103545,0.38940484,0.401033945,0.807737305,0.396326605,0.282988775,0.2471618,0.266706755,0.323471115,0.485286805,0.657578095,0.602424165,0.3391607,0.375249575,0.56314246
