"","Gene.Name","Expressionb","Expression","Expression.1","Expression.2","Expression.3","Expression.4","Expression.5","Expression.6","Expression.7","Expression.8","Expression.9","Expression.10","Expression.11","Expression.12","Expression.13","Expression.14","Expression.15","Expression.16","Expression.17","Expression.18","Expression.19","Expression.20","Expression.21","Expression.22","Expression.23","Expression.24","Expression.25","Expression.26","Expression.27","Expression.28","Expression.29","Expression.30","Expression.31","Expression.32","Expression.33","Expression.34","Expression.35","Expression.36","Expression.37","Expression.38"
"68","Cdc42",-0.08586038,0.07089258,-0.099311255,0.02759183,0.07725688,-0.08321267,-0.118230385,0.07758137,0.153685215,0.021422195,0.126978705,-0.05199483,0.020021965,0.143297675,0.04915126,-0.025264395,-0.006279165,0.073503555,0.114334315,0.0919876,0.002156495,-0.019720745,0.01036012,0.119455675,0.097214565,-0.05725039,0.025583355,0.138182635,0.06909919,0.049375435,-0.000530965,0.037984895,-0.07182603,-0.0723978,0.1194063,0.0643486,0.086649605,-0.04104929,-0.10828614,-0.011801005
"799","Pla2g6",-0.3765923,-0.0473172,0.0955496,-0.3734307,-0.1365389,-0.4203231,-0.1212189,-0.114173,-0.1733271,-0.0903262,0.10700702,-0.2348923,-0.2355241,0.05868238,-0.1070569,-0.547545,-0.3929484,-0.0178799,-0.2812105,-0.0459292,-0.1398352,0.13523017,-0.0670608,-0.1018265,0.02408728,-0.2757379,0.10970497,-0.0116744,-0.154737,-0.6184214,0.07461407,0.0463187,-0.1727524,-0.3938492,-0.1240444,-0.4513442,-0.0843974,-0.0296798,-0.4153609,-0.0661842
"1074","Akt2",-0.635583,-0.8123097,-0.4165343,-0.40773405,-0.71633135,-0.3891201,-0.33354095,-0.6458105,-0.79959315,-0.61805485,-0.6520572,-0.3707996,-0.3424351,-0.71233705,-0.4374746,-0.5493688,-0.7390356,-0.47698565,-0.67750755,-0.41369675,-0.71322725,-0.3520273,-0.3936847,-0.6505918,-0.59817485,-0.3716889,-0.6249078,-0.5187522,-0.69024175,-0.6914447,-0.3560983,-0.5068153,-0.504234,-0.35706475,-0.62772575,-0.4282997,-0.6182046,-0.28349445,-0.3166993,-0.6843801
"1324","Plcg2",1.45030775,1.37009038,1.45550775,0.65222948,1.31539145,1.04910502,0.85081183,1.23264704,0.90165121,1.13516427,1.11618831,1.16089614,1.07087084,1.18854594,1.18603879,0.77049133,0.98224968,1.12833171,0.99854588,0.96432823,1.32283527,1.51735303,0.86718826,1.08530195,1.21891203,1.18575313,1.31848395,1.09458966,1.20084248,0.89324602,1.46989104,1.22359468,0.99848101,0.64854307,1.21050805,0.98879975,1.16188467,1.11475661,0.79399581,1.26537612
"1419","Mapk1",-0.106238655,-0.249253055,-0.37849915,-0.169647395,-0.373027415,0.091928935,-0.222426275,-0.134804795,-0.21524895,-0.0980723,-0.3038196,-0.159997815,-0.10208288,-0.23402195,-0.25070445,-0.01944075,-0.31030835,-0.240525695,-0.100001255,-0.140170065,-0.51827745,-0.3325613,-0.068104685,-0.4405224,-0.255522225,-0.087741335,-0.55957285,-0.3634455,-0.3096322,-0.27756153,-0.41986105,-0.24534678,-0.1538862,-0.20264435,-0.195000555,-0.21831045,-0.44439123,-0.19403271,-0.176693,-0.1582314
"1438","Rac2",-1.1215279,-0.8258322,-0.9032386,-1.4874482,-0.8636686,-1.6911504,-1.4912615,-0.7997461,-1.0090051,-0.6178296,-0.8342349,-1.1764632,-1.2847599,-0.6541626,-0.9720617,-1.267501,-0.9634312,-0.8099221,-0.9044555,-1.5835603,-1.029889,-0.8739881,-1.4080716,-1.001437,-0.7235238,-1.3056722,-0.906803,-0.7474568,-0.5997541,-1.1166933,-0.9275603,-0.5934156,-1.4055336,-1.6736068,-0.8073304,-0.9186139,-0.7867782,-1.3903423,-1.4732763,-0.7257724
"1827","1500003O03Rik",1.92453716,1.46216129,1.33417721,1.53667933,1.5705206,1.85265921,1.76939103,1.57702476,1.64047159,1.20842679,1.33173036,1.65741077,1.74670625,1.32949577,1.70221623,1.18647474,1.78207114,1.56652863,1.70083022,1.69783469,1.5049321,1.40515131,1.64235689,1.41194841,1.44315819,1.58528143,1.26108256,1.3759548,1.31168156,1.85529396,1.1000275,1.25949463,1.56990188,1.39320557,1.65189864,1.74834936,1.54230861,1.72513965,1.78174117,1.52166142
"2040","Mapkapk2",-0.9399937,-0.7614521,-0.8231631,-1.1552677,-0.8127144,-1.1297104,-1.4599847,-0.7692312,-0.9848164,-0.6534457,-0.6888276,-1.062832,-1.149492,-0.7235397,-0.944443,-0.9332372,-1.0357061,-0.7290695,-0.9215119,-1.3094515,-0.9654158,-0.744707,-1.2624192,-0.8593904,-0.7448658,-1.1624218,-0.7772882,-0.7341015,-0.5683919,-1.206474,-0.7947005,-0.5560532,-1.1761968,-1.2909781,-0.7801861,-1.0047721,-0.6665888,-1.2441015,-1.1971745,-0.7497814
"2248","Pik3cd",0.47238473,0.56437285,0.82501315,0.66507827,0.6266763,0.45221153,0.82135633,0.56368851,0.69094287,0.59264144,0.52925915,0.56936067,0.29740258,0.8298664,0.44243227,0.78534961,0.59113123,0.62093498,0.6014495,0.82278313,0.72900179,0.65641656,0.59151352,0.77289246,0.71098774,0.58081367,0.91160177,0.74079525,0.61004276,0.63040552,0.6226187,0.66491515,0.64652236,0.74473473,0.60173425,0.49671063,0.72643101,0.35052034,0.54026361,0.41086013
"2316","Pla2g5",0.04508379,0.27415866,0.30213116,0.28409096,0.42948968,0.40864068,0.23426205,0.13903455,0.14398167,0.18194947,0.42025775,-0.0744418,0.00529066,0.18967919,0.1110476,0.22831921,0.37677357,0.24776518,0.1396697,0.18626345,0.32003695,0.26964849,0.27124856,0.14684403,0.18669889,0.05424168,0.42857963,0.0830164,0.18528076,-0.0717375,0.38575835,0.36227109,0.17286776,0.18697531,0.13512559,0.04133564,0.12584501,0.25455013,0.15955443,-0.0581708
"2608","Sphk2",0.68583223,0.64160299,0.30561569,0.50673383,0.70968226,0.71722413,0.86260091,0.76324234,0.86944188,0.24450146,0.49635522,0.77168934,0.70207585,0.5538069,0.91495273,0.67986029,0.39939034,0.54912312,0.69882956,0.55384708,0.4178644,0.34418958,0.57095566,0.77375118,0.72543479,0.61338136,0.59113828,0.78585587,0.47603819,0.8471285,0.52195514,0.37347286,0.82074505,0.65068773,0.78452625,0.8065671,0.56716208,0.89590277,0.84700623,0.68677469
"2902","Map2k1",-0.185101445,-0.228041225,-0.17910873,-0.27219329,-0.147921165,-0.280101385,-0.20700957,-0.14805538,-0.15011094,-0.14114983,-0.17331472,-0.269886685,-0.21494073,-0.191309645,-0.06627624,-0.310237175,0.010809855,-0.141309155,-0.183638955,-0.097853295,-0.094026325,-0.23797441,-0.12600702,0.10525016,-0.21907484,-0.33539777,-0.185191945,-0.08369936,-0.18440396,0.06306033,-0.170662015,-0.15603823,-0.20264823,-0.24578024,-0.21532019,-0.112792725,-0.072002065,-0.08525984,-0.27162455,-0.143428455
"3101","Pik3r3",0.69738204,0.630699235,0.25161564,0.614565775,0.285158895,0.58954633,0.589745075,0.63816216,0.780644385,-0.020336325,0.380453565,0.520982625,0.67426847,0.489203775,0.626947025,0.56597717,0.585129325,0.39218247,0.73310816,0.610486925,0.465411815,0.272217055,0.69990511,0.58178618,0.48113752,0.58414274,0.28443209,0.57741036,0.268832135,0.726132315,0.340977565,0.26089903,0.59656956,0.655474695,0.702474355,0.720260015,0.36957225,0.673336,0.655568555,0.57642241
"3124","Ptk2",-0.47417875,-0.4399062,-0.424759775,-0.404500175,-0.310835675,-0.50332855,-0.355601075,-0.3183789,-0.318157625,-0.32130515,-0.33786785,-0.38528405,-0.410802725,-0.33532285,-0.23890675,-0.209269868,-0.4002344,-0.212707725,-0.3098574,-0.345645675,-0.381083375,-0.296946075,-0.283698425,-0.4279598,-0.320151275,-0.490947225,-0.33907475,-0.3053086,-0.31642315,-0.5065017,-0.373647375,-0.259518125,-0.381736725,-0.46779755,-0.419901625,-0.482473925,-0.3871543,-0.289722,-0.4224067,-0.381800905
"3210","Nras",-0.48393406,-0.417333825,-0.08138649,-0.21432537,-0.334700495,-0.8352343,-0.246891155,-0.25991321,-0.22643106,-0.293109585,-0.14742187,-0.367779335,-0.44774076,-0.171730135,-0.0667489,-0.306803345,-0.356118655,-0.089724565,-0.148973745,-0.19533022,-0.235488245,-0.151121255,-0.33285384,0.10610791,-0.23060812,-0.337628455,-0.085930405,-0.074691875,-0.251529415,-0.249444535,9.58e-05,-0.187346785,-0.301403075,-0.214591805,-0.2163889,-0.09487212,-0.64690849,-0.226699515,-0.234233465,-0.244156165
"3269","Nos3",-1.6780908,-1.9444661,-2.2919259,-1.9914919,-2.026829,-2.142961,-1.8620357,-1.8826088,-2.2870105,-2.0651141,-2.2950079,-1.859864,-2.0800594,-2.0538125,-2.1522452,-1.8182645,-2.0333385,-2.2384873,-1.9038378,-2.0095782,-2.1499595,-2.1790239,-1.9914112,-1.8393605,-1.8621413,-1.898907,-1.8712219,-2.1645382,-1.8442465,-1.7023019,-2.3244617,-2.1039863,-2.4861125,-2.0523675,-2.1216532,-2.2289068,-1.9230053,-1.898654,-1.6779088,-2.1996943
"3345","Pik3r1",-0.9980965,-1.22442415,-1.1445473,-0.9965542,-0.9445599,-0.9624114,-0.78314725,-1.17963065,-1.1130896,-1.31626735,-1.2498506,-0.94729485,-1.235924,-1.29937535,-1.0284506,-0.9491391,-1.07456775,-0.99113035,-0.981125,-1.1585493,-0.9955322,-1.13056245,-1.1046311,-0.7703626,-1.01416345,-1.13591095,-1.12834505,-0.9527165,-1.158287,-0.7061552,-1.4652754,-1.2928238,-1.01744015,-0.9380342,-1.0989496,-0.79630355,-1.2111563,-1.0070815,-0.9765114,-1.11785055
"3443","Pik3ca",-0.084204565,-0.058627848,-0.12828121,0.089526025,0.012336138,0.054319378,0.07273497,-0.035783335,0.131487108,0.070201905,0.060127763,0.04941938,0.129636935,-0.053101955,0.11718856,-0.006483945,0.162563103,0.029654163,0.12888513,0.18115036,0.00889498,-0.112087308,0.14217192,0.046765115,-0.055757068,0.006224408,-0.008734815,0.027344345,-0.112378103,0.087706793,-0.112867383,0.070671703,0.193371723,0.10649246,0.06446167,0.08582325,0.022604508,0.124407228,0.118381743,-0.00540893
