"","Gene.Name","Expressionb","Expression","Expression.1","Expression.2","Expression.3","Expression.4","Expression.5","Expression.6","Expression.7","Expression.8","Expression.9","Expression.10","Expression.11","Expression.12","Expression.13","Expression.14","Expression.15","Expression.16","Expression.17","Expression.18","Expression.19","Expression.20","Expression.21","Expression.22","Expression.23","Expression.24","Expression.25","Expression.26","Expression.27","Expression.28","Expression.29","Expression.30","Expression.31","Expression.32","Expression.33","Expression.34","Expression.35","Expression.36","Expression.37","Expression.38"
"68","Cdc42",-0.302885775,-0.283893855,-0.261604215,-0.32493672,-0.33591767,-0.30813036,-0.473520125,-0.34293923,-0.44119945,-0.386525775,-0.46777705,-0.287822465,-0.52218675,-0.49863661,-0.37030249,-0.539527715,-0.203030175,-0.283970725,-0.363597035,-0.390677915,-0.112666895,-0.32494806,-0.53175155,-0.426056785,-0.317330355,-0.425032335,-0.301054945,-0.22940999,-0.34599434,-0.43727505,-0.369208795,-0.522234865,-0.360607765,-0.25320508,-0.362345785,-0.404354655,-0.32053813,-0.3641838,-0.21181608,-0.297893425
"799","Pla2g6",0.27345153,0.50596802,0.40634242,0.13462855,0.53302543,0.04895665,0.45007307,0.14319315,0.2166427,0.20900733,-0.0079537,0.24691428,0.04522567,0.25935314,0.15769481,0.20568682,0.32588002,0.24671912,0.27246244,0.15569988,0.43899457,0.38110904,0.07887395,0.1867816,0.47648289,0.18803437,0.45556092,0.15250829,0.39221371,0.22616512,0.18522586,0.12649655,0.34302998,0.45660184,0.30976235,0.2546276,0.30499319,0.40385681,0.3968127,0.4125162
"1074","Akt2",-0.39658575,-0.3264415,-0.22004355,-0.17106004,-0.02834085,-0.147280675,-0.261004445,-0.2272529,-0.25756461,-0.11851315,-0.041525865,-0.14997074,-0.11641429,-0.244392185,-0.2605405,-0.430201185,-0.3123847,-0.204736145,-0.23129417,-0.010433335,-0.27520665,-0.36909929,-0.210141595,-0.265913445,-0.32965575,-0.236555845,-0.091193685,-0.4420672,-0.153267835,-0.14774307,-0.312792135,0.04302007,-0.22811734,-0.46442095,-0.13729014,-0.14446948,-0.134512855,-0.080810435,-0.17252125,-0.02100289
"1324","Plcg2",0.40935768,0.39191768,0.39181554,0.25715275,0.36612226,0.16287958,0.34982698,0.26857296,0.25383566,0.29503185,0.26463169,0.24204883,0.26658421,0.38450314,0.33621299,0.26062618,0.31131936,0.29374248,0.30978868,0.27956024,0.40831119,0.3190213,0.25821309,0.33525291,0.33813848,0.2608683,0.24248258,0.34927662,0.28290657,0.29044796,0.30546494,0.20207759,0.27616928,0.41839302,0.20578234,0.30569298,0.33950535,0.27722675,0.43329849,0.3642483
"1419","Mapk1",0.00446044,-0.103282135,-0.19713724,-0.085637535,-0.040871275,0.010080805,-0.141653075,-0.225767765,-0.039203985,-0.063347795,0.030630835,-0.091265245,-0.11737666,-0.086582995,-0.108761415,-0.05079207,-0.118514115,-0.062412815,-0.023698835,-0.00894822,-0.10461175,-0.111046775,-0.05582238,-0.068208375,-0.08416211,-0.13732276,-0.02592847,-0.079835955,0.00253211,-0.16516458,-0.021699435,-0.050044235,-0.15792288,-0.123868085,-0.051093725,-0.11937153,-0.03898422,-0.119455195,-0.07476963,-0.0539358
"1438","Rac2",-1.0931242,-1.3598912,-1.297952,-1.5353358,-1.424444,-1.3778966,-1.2762238,-1.502313,-1.3076351,-1.2762191,-1.2810358,-1.3245259,-1.1446309,-1.1232588,-1.2812068,-1.3711909,-1.4290506,-1.6380621,-1.2928827,-1.3905158,-1.4871547,-1.4156672,-1.3337976,-1.0822284,-1.4698322,-1.3414014,-1.2207964,-1.3979885,-1.3798957,-1.3082063,-1.2921124,-1.4684959,-1.3858621,-1.5972526,-1.2754175,-1.3097961,-1.3610793,-1.3219151,-1.39461,-1.1218188
"1827","1500003O03Rik",1.08593694,1.3044611,1.20906279,1.29404495,1.03392775,1.0243464,1.03868223,0.90530862,0.9796978,1.08125473,0.82396861,1.14269318,0.74735378,0.9810064,1.02345076,1.03841271,1.37192582,1.3000992,1.02956043,1.14210888,1.2706137,1.29501792,0.9534865,1.22793574,1.24934834,1.07090756,1.04246492,1.19854814,1.14697964,0.83496212,1.10599672,1.0400969,1.11176143,1.40182639,1.08763888,0.99883643,1.12828075,1.07237676,1.14387804,1.11846479
"2040","Mapkapk2",-1.0438873,-1.173279,-1.1708825,-1.3215475,-1.1548803,-1.2051209,-1.1767191,-1.0794247,-1.0992915,-1.0795209,-1.0837121,-1.1356497,-1.0021621,-0.9729906,-1.1404357,-1.2592017,-1.314899,-1.1640367,-1.2785993,-1.1553757,-1.388106,-1.1740233,-1.0891105,-0.9152985,-1.2108408,-1.3030297,-1.3200077,-1.1357111,-1.0671345,-1.0932518,-1.1598595,-1.0270846,-1.2418362,-1.375232,-1.2194985,-1.2703783,-1.0872328,-1.1165252,-1.3593319,-0.9870156
"2248","Pik3cd",0.0548178,0.20815314,0.29419913,0.11100016,-0.0921984,0.19627202,0.25999843,0.42330559,0.04501936,0.17589353,0.24123352,0.22357586,0.3189361,0.12406641,0.30314699,0.29288484,-0.0140749,0.09537792,0.15229385,-0.1296245,0.19709675,0.16738586,0.13845701,0.09202676,0.15885463,0.17716451,0.06994635,0.23999315,0.02027173,0.19992148,0.3261119,0.03977264,-0.0123069,0.19073148,0.08131454,0.02152026,0.08711832,0.30748108,0.14585201,-0.0239931
"2316","Pla2g5",0.23176878,-0.0869935,-0.0265713,0.28375248,-0.0606864,0.15787901,0.32821445,0.19277323,0.50797584,0.35135075,0.76649111,-0.3804315,0.80724306,0.14777199,-0.043871,-0.4027541,0.04542575,-0.0139254,0.58284496,0.52441844,-0.0539467,-0.0687398,0.56618904,0.56630259,0.29995167,0.40789131,0.26113797,0.06447043,0.24504732,0.56102986,-0.0173029,0.32709255,0.579169,-0.2846341,0.14805934,0.25336878,0.13464223,0.49177778,-0.4473699,0.31388613
