"","Gene.Name","Expressionb","Expression","Expression.1","Expression.2","Expression.3","Expression.4","Expression.5","Expression.6","Expression.7","Expression.8","Expression.9","Expression.10","Expression.11","Expression.12","Expression.13","Expression.14","Expression.15","Expression.16","Expression.17","Expression.18","Expression.19","Expression.20","Expression.21","Expression.22","Expression.23","Expression.24","Expression.25","Expression.26","Expression.27","Expression.28","Expression.29","Expression.30","Expression.31","Expression.32","Expression.33","Expression.34","Expression.35","Expression.36","Expression.37","Expression.38"
"68","Cdc42",0.020812585,-0.035145395,-0.1026947,-0.09561839,-0.08507705,-0.009747175,-0.072001915,-0.041733405,-0.1798951,-0.113046695,-0.061089855,-0.043972765,-0.01339319,-0.01622652,-0.084116945,-0.108042135,-0.14384623,-0.120669445,-0.038982745,-0.075477745,-0.117842195,-0.034499175,-0.1238661,-0.095280835,-0.049354615,-0.0914744,-0.10776988,-0.037644875,-0.06973685,-0.14113149,-0.13681722,-0.15696395,-0.04026614,-0.042809995,-0.04149507,-0.18956928,-0.08485715,-0.12188804,-0.06484965,-0.09776974
"799","Pla2g6",0.2837248,0.14188191,0.3642186,0.10772901,0.27588347,0.39944892,0.20595469,0.29158506,0.08170427,0.32079131,0.1318754,0.31188336,0.3110258,0.23440491,0.19412939,0.42525913,0.23350524,0.19532158,0.15874885,0.38189424,0.04394298,0.29354068,-0.0824291,0.14538548,0.18043932,0.3086989,0.26336467,0.080567,-0.0061304,-0.992789,0.35030872,0.29633622,0.42180584,0.14536083,0.39740586,0.26404416,0.1411614,0.04771519,0.24734561,0.22268838
"1074","Akt2",-0.4299603,-0.3273146,-0.3925935,-0.356735,-0.4285286,-0.27267307,-0.326095045,-0.3899876,-0.37899825,-0.47855435,-0.4149333,-0.17047601,-0.34264243,-0.3980221,-0.47400485,-0.42810835,-0.40856875,-0.4442342,-0.44285315,-0.29653045,-0.43913265,-0.44714535,-0.31838489,-0.3642402,-0.3275036,-0.19671566,-0.327081165,-0.43261325,-0.53791155,-0.81101195,-0.4725622,-0.320436,-0.25775965,-0.22739165,-0.20479137,-0.5062924,-0.5216707,-0.35473115,-0.5006168,-0.3363343
"1324","Plcg2",0.67272173,0.53110435,0.72470031,0.55795613,0.68324884,0.53853737,0.63218546,0.59351677,0.60636096,0.66033839,0.61164298,0.68694862,0.61982396,0.7199352,0.65557909,0.65934589,0.70304513,0.56657784,0.77680397,0.62757572,0.69025082,0.77285957,0.41830197,0.60076672,0.61450351,0.70669873,0.57940204,0.76004856,0.62088067,0.58447173,0.71552221,0.65935034,0.78876618,0.70226674,0.62066523,0.76784807,0.68340135,0.66496948,0.71185166,0.74508009
"1419","Mapk1",-0.1039704,-0.104138935,-0.143177905,-0.1860914,-0.2344793,-0.2779206,-0.16221304,-0.202877785,-0.14881755,-0.2205533,-0.13231745,-0.23568275,-0.2263023,-0.032542295,-0.12593775,-0.1941443,-0.23476831,-0.0024897,-0.131336555,-0.148664225,-0.2224088,-0.084507745,-0.28954105,-0.1764373,-0.055742045,-0.24262575,-0.16483548,-0.03342512,-0.075840135,-0.2656583,-0.1255008,-0.23580585,-0.38348745,-0.201281645,-0.225871765,-0.133944365,-0.2128986,-0.037046735,-0.177156105,-0.121446215
"1438","Rac2",-0.5116754,-0.4214054,-0.4855692,-0.4807376,-0.6236352,-0.5609554,-0.5246508,-0.5741871,-0.4776217,-0.7786925,-0.4858186,-0.4394607,-0.4716073,-0.3614852,-0.4954491,-0.6312401,-0.5943851,-0.6886155,-0.7479516,-0.6096379,-0.6109533,-0.710802,-0.5811018,-0.5642854,-0.7313098,-0.6458797,-0.5503374,-0.5302798,-0.3788369,-0.1358017,-0.4189943,-0.6960438,-0.6961373,-0.3948425,-0.5957964,-0.5622478,-0.8276408,-0.553442,-0.6116487,-0.4704914
"1827","1500003O03Rik",1.2005225,1.08622584,0.93826603,0.89809124,0.854077,0.57909299,0.91219409,1.06525079,0.98776127,1.05349503,0.94244385,0.82833105,0.80699298,1.12947284,0.94622322,1.02852189,0.86484928,1.07671987,1.44803583,0.90656835,1.15841868,1.03378606,1.06079918,1.27363298,1.11698216,0.75551165,0.99479506,1.44184182,1.17768623,2.2346601,0.96074431,1.04618782,1.00449125,0.8271495,0.97446162,1.24091243,1.18748862,1.07830037,1.22904875,1.25054211
"2040","Mapkapk2",-1.003416,-0.5554191,-0.4645628,-0.7080878,-0.6436552,-0.6678307,-0.5876125,-0.7208855,-0.4739222,-0.6986175,-0.4577841,-0.5354904,-0.5363507,-0.6386888,-0.5845716,-0.6636593,-0.5554408,-0.5965848,-0.7342864,-0.635994,-0.6165533,-0.4993431,-0.7404878,-0.6635203,-0.652396,-0.6124162,-0.6660345,-0.6738577,-0.5546683,-0.2073533,-0.5121302,-0.5649723,-0.6827729,-0.4599433,-0.600056,-0.5911713,-0.756109,-0.7000691,-0.6792242,-0.5260846
"2248","Pik3cd",0.12926455,0.3880908,0.51358184,0.37449281,0.30289669,0.18047941,0.39166887,0.43905843,0.37446865,0.41716005,0.28870094,0.5705617,0.40487026,0.2595269,0.217035,0.29487991,0.41114088,0.41518412,0.40688985,0.21714627,0.35208501,0.33581208,0.46799809,0.19132286,0.2780481,0.309586,0.11772182,0.03071069,0.28898791,0.558395,0.26789586,0.32522652,0.54361471,0.44869717,0.57391655,0.41050489,0.35046745,0.33181218,0.18835281,0.27208051
"2316","Pla2g5",-0.0326943,-0.05895,0.13086341,-0.0862242,0.0193452,0.06865958,-0.0863825,-0.1176825,-0.0217106,0.04259584,-0.0230951,0.0396967,0.08777854,-0.0482449,0.128721,0.08731673,0.01825638,0.12116305,0.1038161,0.16958631,-0.108284,-0.0850157,0.01397473,-0.1554252,-0.0155709,0.18824552,-0.0883296,0.17577272,-0.1625777,-0.1531192,0.06817635,0.00306614,0.17373952,0.11186903,0.16531427,0.02763727,0.11177045,0.038198,-0.0113484,0.08800492
