"","Gene.Name","Expressionb","Expression","Expression.1","Expression.2","Expression.3","Expression.4","Expression.5","Expression.6","Expression.7","Expression.8","Expression.9","Expression.10","Expression.11","Expression.12","Expression.13","Expression.14","Expression.15","Expression.16","Expression.17","Expression.18","Expression.19","Expression.20","Expression.21","Expression.22","Expression.23","Expression.24","Expression.25","Expression.26","Expression.27","Expression.28","Expression.29","Expression.30","Expression.31","Expression.32","Expression.33","Expression.34","Expression.35","Expression.36","Expression.37","Expression.38"
"68","Cdc42",0.297986755,0.135876325,0.23309673,0.190884275,0.22770402,0.251997575,0.183914735,0.086457895,0.41920708,0.276338925,0.16077443,0.149810685,0.106556255,0.25369362,0.239241235,0.32218036,0.12301608,0.10649104,0.303999135,0.289362215,0.219978405,0.155773685,0.260378945,0.405740815,0.333585055,0.31329836,0.052774035,0.28456044,0.34345413,0.16671609,-0.044934305,0.223265995,-0.00010508,0.09691669,0.05414343,0.1017481,0.155137875,0.149900335,0.243679335,0.06761842
"799","Pla2g6",-0.0125081,-0.517061,-0.0355076,-0.1552995,-0.6369337,-0.5963801,-0.3211914,-0.0336069,-0.0998551,-0.2309239,-0.0818651,-0.5000178,-0.463342,0.48489609,-0.25744,-0.037539,-0.5201919,-1.0714103,-0.2767687,-0.5316242,-0.0554661,0.08373472,-0.1766355,0.08482337,-0.5088228,-0.1693172,-0.267468,-0.0775779,-0.1145098,-0.8666002,-1.0186229,-0.2014166,-0.4063244,-0.8998047,-0.9015672,-0.7156957,-0.353043,-0.9139664,-0.7690544,-0.8068216
"1074","Akt2",-0.55461515,-0.5928893,-0.59092755,-0.68819525,-0.70838835,-0.64357045,-0.7505977,-0.80548365,-0.62010845,-0.54845895,-0.6283806,-0.58739975,-0.8624109,-0.6653735,-0.72041135,-0.66106725,-0.6883714,-0.6734717,-0.78123175,-0.7988078,-0.5533566,-0.74179255,-0.61126275,-0.55524415,-0.66646505,-0.68229475,-0.86081265,-0.66740125,-0.6724484,-0.76864255,-0.6604105,-0.6439894,-0.8608819,-0.68350775,-0.7636707,-0.8386709,-0.6736172,-0.8727881,-0.4586334,-0.5372029
"1324","Plcg2",1.03168799,0.60564038,1.0086325,0.97054656,0.83007563,0.66191362,1.01551669,1.10677123,0.98609471,0.98732766,0.91526647,0.84237911,0.80508257,1.27478976,0.93757813,0.85564544,0.86229085,0.22143497,0.80200814,0.69428372,1.11405672,0.95891902,0.96241728,1.20105309,0.71789588,0.9272248,0.60815291,1.1161895,1.04559767,0.54508157,0.33433088,0.95642418,0.73842689,0.32051304,0.81797505,0.86969125,0.76275338,0.51941271,0.59835894,0.27689144
"1419","Mapk1",0.267907305,-0.08904604,0.10416843,-0.02363685,-0.25016555,-0.0080836,0.07494228,0.051489725,0.07956297,0.086022175,-0.119752035,-0.09766583,-0.044977455,-0.1972247,0.13799669,-0.017066625,-0.1407046,0.080208535,-0.009510515,0.014539925,-0.03307982,-0.0591976,-0.07418654,0.81228983,0.023213475,-0.02386096,-0.0369493,-0.039511,0.113280845,0.210489095,0.15834778,-0.1448551,-0.04915754,-0.05193615,-0.02833141,-0.10154435,-0.17286225,-0.0642251,-0.018132985,-0.00695728
"1438","Rac2",-0.451577,-0.9869997,-0.4789767,-0.448021,-0.8371259,-1.0579755,-0.4635461,-0.4474396,-0.5768161,-0.7227301,-0.5833159,-0.7362842,-0.6979152,-0.4790031,-0.7882541,-0.6182382,-0.8826961,-1.9901123,-0.8667354,-0.9797601,-0.3591082,-0.5159752,-0.4677584,-0.2317217,-0.9388975,-0.6605778,-0.7046041,-0.5518129,-0.8250002,-1.3277341,-1.5523122,-0.5008492,-0.7139426,-1.2649405,0.11033966,-0.7979006,-0.7991394,-1.3200857,-1.1177208,-1.3865571
"1827","1500003O03Rik",2.01349569,1.95180428,2.08841392,1.86015436,1.90105062,2.02077857,2.08826998,1.91024048,2.22549442,2.34007748,1.76091461,1.94947936,1.971396,1.75322308,2.30558321,1.84301338,1.9581508,2.12727461,1.96686195,2.04964193,1.98085947,2.03708562,1.88537877,2.19906605,2.26419293,1.96624751,1.8200322,2.04634242,2.20140251,2.29794344,2.06793971,1.755302,1.83576655,1.84432152,1.6288191,1.82258478,2.08216054,1.91040238,1.8005667,2.04323096
"2040","Mapkapk2",-1.1080423,-1.2909947,-1.134237,-0.94049,-0.9028688,-1.3825443,-0.9034948,-0.8352769,-0.9118953,-1.1060817,-1.0065531,-1.1485216,-1.0059474,-0.9498732,-1.3777657,-0.9941518,-1.2685682,-1.6909336,-1.2849654,-1.2176645,-1.0070143,-1.0876668,-0.92698,-0.9521526,-1.2126556,-1.3582951,-1.0645199,-1.2293048,-1.15679,-1.6668814,-1.7898178,-0.8233374,-1.0093159,-1.5144055,-0.742538,-1.0106234,-1.0625457,-1.2542122,-1.1993674,-1.5486113
"2248","Pik3cd",-0.0328042,0.17914559,-0.2258417,0.36828709,0.14541567,0.26344507,0.13098695,0.23220444,0.23185594,-0.0166844,0.12092454,0.26193985,0.29481659,0.15624848,0.00342878,0.4167761,0.05554775,0.16398678,0.09295682,0.02500764,0.04733131,0.19018069,0.10503159,-0.1387201,0.2403092,0.25552147,-0.1530113,0.15673633,0.01227816,0.11367687,-0.1325702,0.11515943,0.38747838,0.02728104,0.26067566,-0.0741103,0.13502421,0.32306396,-0.2190827,0.25750272
"2316","Pla2g5",-0.5465659,-0.1661436,-0.2634332,-0.0848463,-0.5373541,-0.3600949,-0.2670825,-0.2741797,-0.3212057,-0.5290835,-0.1021623,-0.363209,-0.4206574,-0.2208893,-0.296029,-0.3855986,-0.0768692,-0.1563587,-0.297995,-0.2943815,-0.4258833,-0.1520462,-0.1517621,-0.4294146,-0.3052008,-0.1416109,-0.4895866,-0.1313906,-0.0156403,-0.3173357,-0.4110325,-0.2695364,-0.3281838,-0.4371299,-0.2050736,-0.4608981,-0.3129675,-0.550865,-0.4347814,-0.2089944
"2608","Sphk2",1.14976348,1.265433,1.21410036,0.93946394,0.85706207,1.0865382,1.06501178,0.90241316,1.14362631,1.02252631,1.05986268,1.03293066,1.11253617,0.91442196,0.88253314,0.93484321,0.79026517,1.14492769,1.26894591,1.1151574,0.86331662,1.14228509,1.08276926,1.15053387,1.14190406,0.96394519,1.05674039,1.16584643,0.97836746,1.12284077,1.13389059,0.88743104,0.86712943,1.08458482,0.77754077,0.80301893,0.87368447,1.18058506,0.96669711,1.24379138
"2902","Map2k1",0.07163772,0.2578535,0.12000945,0.04484676,0.033130585,0.376201155,0.10547029,0.20497027,0.22231076,0.174530395,0.016323305,0.244984795,0.194820525,0.187651535,0.083830175,0.080964775,0.027810275,0.44335375,0.36520284,0.23758585,-0.02773692,0.170218,0.07149074,0.137113865,0.222327465,0.167387705,0.073189475,0.07995074,0.223106955,0.327785255,0.343870415,0.061410945,0.136766085,0.236439185,0.677731565,0.35077364,0.21794421,0.197390015,0.218655365,0.39566695
"3101","Pik3r3",1.013077155,1.30320329,1.188050945,0.9667812,0.878667195,1.30267154,1.08018324,1.027183955,1.247656135,1.059346535,0.93251642,1.17809939,1.039828005,0.79343267,1.14515986,1.10761742,1.004260925,1.195091715,1.264063585,1.160250605,0.918104445,1.098897705,0.980379235,1.126748465,1.230553405,1.22070719,0.926344445,1.24084245,1.234162785,1.28762161,1.357883815,0.98401248,1.08903179,1.11967472,1.027028505,0.9035863,0.91897503,1.07212749,1.021940275,1.044767305
"3124","Ptk2",-0.44913575,-0.72573085,-0.4588173,-0.599497625,-0.6883397,-0.641138215,-0.50115875,-0.45596305,-0.583553875,-0.6461467,-0.513940975,-0.6221766,-0.567119325,-0.520965475,-0.535861763,-0.358498185,-0.645330925,-0.640636273,-0.66705285,-0.619989825,-0.476931875,-0.566802975,-0.487100475,-0.274344498,-0.615924033,-0.509158208,-0.50871968,-0.43636275,-0.508400775,-0.62329121,-0.570283433,-0.539097375,-0.596966525,-0.641970775,-0.59541914,-0.6558757,-0.685023625,-0.87425365,-0.696742425,-0.744549153
"3210","Nras",-0.43311445,-0.4594116,-0.3763942,-0.403626445,-0.449523915,-0.5266823,-0.48997795,-0.5452335,-0.5770901,-0.64030145,-0.25911364,-0.4040546,-0.5199651,-0.5282212,-0.5427185,-0.38573515,-0.49855175,-0.32492485,-0.52990095,-0.55243765,-0.44764605,-0.48748065,-0.35485325,-0.4490592,-0.49093375,-0.37837275,-0.4328242,-0.4868871,-0.5314489,-0.5043352,-0.28650275,-0.556799,-0.455035,-0.47171375,-0.6155401,-0.5852334,-0.5450907,-0.37589895,-0.42099385,-0.300994435
"3269","Nos3",-2.3488637,-2.1561187,-2.2904946,-1.9717515,-2.3999784,-2.9572645,-2.0185957,-2.4766816,-2.3513796,-2.0346055,-1.9590877,-1.9059164,-2.0957077,-2.5014141,-2.2328723,-2.3371032,-2.2090574,-2.1633924,-2.6711406,-2.7022771,-2.5762963,-2.4950888,-2.0586274,-2.3817533,-2.3138113,-2.2095863,-2.4283487,-2.4513262,-2.4897676,-1.9775345,-1.9952315,-2.4130391,-2.6016633,-2.8063904,-0.9320034,-2.4713033,-2.6459905,-1.9349005,-2.5609168,-2.256634
